iter	Passed	Remaining
0	1	1119
1	1	909
2	2	833
3	3	794
4	3	774
5	4	760
6	5	746
7	5	739
8	6	736
9	7	736
10	8	736
11	8	739
12	9	744
13	10	747
14	11	744
15	12	741
16	12	741
17	13	742
18	14	740
19	15	742
20	16	781
21	17	779
22	18	774
23	19	773
24	20	781
25	20	780
26	21	781
27	22	779
28	23	776
29	23	775
30	24	772
31	25	771
32	26	771
33	27	769
34	27	769
35	28	767
36	29	765
37	30	768
38	31	768
39	31	766
40	32	769
41	33	769
42	34	767
43	35	765
44	35	763
45	36	762
46	37	758
47	38	758
48	38	756
49	39	755
50	40	753
51	41	752
52	42	752
53	42	751
54	43	750
55	44	750
56	45	749
57	46	749
58	47	751
59	47	749
60	48	749
61	49	749
62	50	748
63	51	746
64	51	745
65	52	744
66	53	742
67	54	741
68	54	740
69	55	738
70	56	738
71	57	736
72	57	734
73	58	731
74	59	729
75	60	731
76	60	730
77	61	728
78	62	726
79	63	724
80	63	722
81	64	720
82	64	715
83	65	712
84	66	710
85	66	708
86	67	706
87	67	704
88	68	702
89	69	700
90	69	698
91	70	696
92	71	694
93	71	692
94	72	690
95	73	689
96	73	686
97	74	687
98	75	686
99	76	685
100	76	684
101	77	683
102	78	682
103	79	681
104	79	680
105	80	678
106	81	677
107	81	675
108	82	673
109	83	671
110	83	670
111	84	668
112	84	666
113	85	664
114	86	663
115	86	661
116	87	659
117	87	657
118	88	655
119	89	655
120	90	654
121	90	653
122	91	652
123	92	650
124	92	649
125	93	647
126	93	645
127	94	644
128	95	642
129	95	641
130	96	639
131	97	638
132	97	637
133	98	636
134	99	634
135	99	633
136	100	632
137	100	630
138	101	629
139	102	628
140	103	631
141	104	629
142	105	629
143	105	628
144	106	628
145	107	628
146	108	627
147	109	627
148	109	626
149	110	625
150	111	624
151	111	623
152	112	622
153	113	621
154	113	619
155	114	618
156	115	617
157	115	616
158	116	615
159	117	615
160	117	613
161	118	612
162	119	611
163	119	611
164	120	610
165	121	610
166	122	609
167	123	609
168	123	608
169	124	609
170	125	609
171	126	608
172	127	607
173	127	606
174	128	605
175	129	604
176	129	603
177	130	602
178	131	601
179	131	600
180	132	599
181	133	597
182	133	596
183	134	596
184	135	597
185	136	597
186	137	596
187	138	596
188	138	595
189	139	594
190	140	593
191	140	592
192	141	591
193	142	590
194	142	589
195	143	588
196	144	587
197	144	586
198	145	585
199	146	584
200	146	583
201	147	582
202	148	582
203	148	581
204	149	580
205	150	579
206	151	579
207	151	578
208	152	577
209	153	576
210	153	575
211	154	574
212	155	573
213	155	572
214	156	571
215	157	570
216	157	569
217	158	568
218	159	567
219	159	566
220	160	565
221	161	564
222	161	563
223	162	562
224	162	561
225	163	560
226	164	559
227	165	559
228	165	558
229	166	557
230	167	556
231	167	555
232	168	554
233	169	553
234	169	552
235	170	551
236	171	550
237	171	549
238	172	548
239	173	548
240	173	547
241	174	546
242	175	545
243	175	544
244	176	543
245	176	542
246	177	541
247	178	540
248	178	539
249	179	538
250	180	538
251	180	537
252	181	536
253	182	535
254	182	534
255	183	533
256	184	532
257	185	532
258	185	531
259	186	530
260	187	529
261	187	528
262	188	528
263	189	527
264	189	526
265	190	525
266	191	524
267	191	523
268	192	522
269	193	521
270	193	521
271	194	520
272	195	519
273	195	519
274	196	518
275	197	517
276	197	516
277	198	515
278	199	514
279	199	513
280	200	513
